YEAR,CRUISE,DoY,LONGITUDE,LATITUDE,SST,SALINITY,fCO2_atm,fCO2_sw,pH
1995.752958,AMT1,275.5825,-21.7068,27.45808333,24.58333333,37.16798333,360.2,380.0666667,8.0768
1995.753641,AMT1,275.8325,-21.65826667,26.50118333,24.97166667,37.18035,357.9166667,379.2333333,8.0771
1995.754268,AMT1,276.0622,-21.47884,25.43162,24.848,37.13588,355.14,374.1,8.0817
1995.754837,AMT1,276.2704,-21.3529,24.40566,24.74,37.01962,357.88,376.52,8.0789
1995.755518,AMT1,276.5195,-21.179875,23.40575,25.1025,36.842075,356.3,377.375,8.0764
1995.756144,AMT1,276.7488333,-21.00071667,22.54043333,24.705,36.6122,360.2833333,383.85,8.0696
1995.756774,AMT1,276.9794,-20.77928,21.52812,24.438,36.26074,365.18,385.88,8.0659
1995.757341,AMT1,277.1868,-20.56586,20.51114,24.866,36.25404,366.94,382.66,8.0683
1995.758081,AMT1,277.4575,-20.3927,19.49455,25.67,36.35895,365.425,375.025,8.0748
1995.758762,AMT1,277.707,-20.35235,18.4354,26.3975,36.396275,356.575,375.025,8.0739
1995.75922,AMT1,277.8745,-20.354375,17.489675,26.6075,36.434775,353.1,379.675,8.0696
1995.759676,AMT1,278.04125,-20.365775,16.5351,28.32,36.018975,352.425,359.85,8.0828
1995.76013,AMT1,278.20775,-20.381,15.566825,28.825,35.8851,352.225,365.175,8.0762
1995.76064,AMT1,278.3944,-20.40198,14.51362,28.676,35.84928,353.36,380.9,8.0618
1995.761211,AMT1,278.6032,-20.42072,13.37016,28.892,35.62194,355.32,384.24,8.0572
1995.761839,AMT1,278.8331667,-20.68916667,12.50935,28.765,35.3953,352.4833333,380.3333333,8.0597
1995.762464,AMT1,279.0618,-21.16022,11.50648,28.772,35.38278,352.14,370.06,8.0691
1995.763033,AMT1,279.2702,-21.60404,10.51868,28.596,35.2827,351.18,355.86,8.0823
1995.763715,AMT1,279.5195714,-22.08477143,9.519827143,28.40571429,35.60465714,350.4285714,344.9142857,8.0949
1995.764457,AMT1,279.7911667,-22.49101667,8.5592,28.62666667,35.49003333,350.2333333,335.65,8.1032
1995.765138,AMT1,280.0406667,-22.96678333,7.534275,28.29,35.38235,350.75,327.75,8.1114
1995.765821,AMT1,280.2906667,-23.48876667,6.468866667,28.105,35.19501667,351.8666667,323.05,8.1157
1995.766505,AMT1,280.5406667,-23.88743333,5.54191,28.00833333,34.96026667,355.4,324.4833333,8.1133
1995.767472,AMT1,280.8946667,-24.3852,4.308,28.01333333,34.41223333,356.3333333,330,8.1051
1995.768043,AMT1,281.10375,-24.805075,3.4211025,27.97,34.796125,357.325,328.25,8.1087
1995.768611,AMT1,281.3116,-25.23554,2.517414,27.848,35.08268,361.38,332.02,8.1063
1995.769295,AMT1,281.5618571,-25.64888571,1.528984286,27.27142857,35.51628571,362.5428571,351.4285714,8.0901
1995.770034,AMT1,281.8323333,-26.07516667,0.499859333,26.695,35.69903333,302.7166667,367.6666667,8.0764
1995.770661,AMT1,282.0618,-26.51736,-0.5059138,26.112,35.85764,291.14,375.62,8.0707
1995.77123,AMT1,282.2702,-26.9245,-1.520002,26.214,36.0171,364.36,379.58,8.0678
