Latitude[deg+veN]	Longitude[deg+veW]	yyyy-mm-ddThh24:mi[GMT/UT]	pH	pCO2 (micro-atm)	
50.25	4.217	06/10/2008	8.015	439.9	
50.25	4.217	13/10/2008	8.041	411.3	
50.25	4.217	21/10/2008	8.036	416.3	
50.25	4.217	27/10/2008	8.032	421.3	
50.25	4.217	03/11/2008	8.03	423.1	
50.25	4.217	17/11/2008	8.03	419.5	
50.25	4.217	26/11/2008	8.016	436	
50.25	4.217	08/12/2008	8.033	416.3	
50.25	4.217	15/12/2008	8.035	413.3	
50.25	4.217	13/01/2009	8.063	383.6	
50.25	4.217	21/01/2009	8.085	359.4	
50.25	4.217	26/01/2009	8.123	328.5	
50.25	4.217	11/02/2009	8.115	332.5	
50.25	4.217	16/02/2009	8.128	324.1	
50.25	4.217	23/02/2009	8.097	350.3	
50.25	4.217	02/03/2009	8.091	355.8	
50.25	4.217	09/03/2009	8.086	362.1	
50.25	4.217	16/03/2009	8.1	348.9	
50.25	4.217	23/03/2009	8.112	337.4	
50.25	4.217	30/03/2009	8.108	343.6	
50.25	4.217	14/04/2009	8.124	328.8	
50.25	4.217	27/04/2009	8.156	300.7	
50.25	4.217	05/05/2009	8.126	325.5	
50.25	4.217	05/05/2009	8.103	345.9	
50.25	4.217	14/05/2009	8.152	303.4	
50.25	4.217	21/05/2009	8.096	355.3	
50.25	4.217	02/06/2009	8.085	364.9	
50.25	4.217	08/06/2009	8.111	341.8	
50.25	4.217	15/06/2009	8.163	299.3	
50.25	4.217	29/06/2009	8.147	311.2	
50.25	4.217	07/07/2009	8.086	365.4	
50.25	4.217	13/07/2009	8.09	362.3	
50.25	4.217	20/07/2009	8.196	268.5	
50.25	4.217	17/08/2009	8.112	338.5	
50.25	4.217	07/09/2009	8.056	395.6	
50.25	4.217	07/10/2009	8.063	389	
50.25	4.217	12/10/2009	8.059	392.9	
50.25	4.217	19/10/2009	8.039	413.5	
50.25	4.217	26/10/2009	8.037	414.5	
50.25	4.217	09/11/2009	8.044	409.2	
50.25	4.217	01/12/2009	8.03	419.6	
50.25	4.217	09/12/2009	8.058	391.2	
50.25	4.217	15/12/2009	7.98	473.6	
50.25	4.217	21/12/2009	8.026	423.6	
50.25	4.217	11/01/2010	8.084	362.3	
50.25	4.217	18/01/2010	7.968	484.5	
50.25	4.217	01/02/2010	8.076	373	
50.25	4.217	08/03/2010	8.188	275	
50.25	4.217	07/04/2010	7.989	456.9	
50.25	4.217	12/04/2010	8.069	376	
50.25	4.217	19/04/2010	8.165	293.3	
50.25	4.217	26/04/2010	8.154	301.6	
50.25	4.217	24/05/2010	8.163	297.8	
50.25	4.217	02/06/2010	8.137	316.9	
50.25	4.217	07/06/2010	8.121	331.3	
50.25	4.217	14/06/2010	8.069	381.8	
50.25	4.217	21/06/2010	8.111	339.8	
50.25	4.217	29/06/2010	8.028	422.4	
50.25	4.217	06/07/2010	7.954	517.4	
50.25	4.217	12/07/2010	7.887	594	
50.25	4.217	19/07/2010	8.094	353.7	
50.25	4.217	26/07/2010	8.041	411.6	
50.25	4.217	03/08/2010	8.073	376.9	
50.25	4.217	11/08/2010	7.996	462.7	
50.25	4.217	16/08/2010	8.079	371.6	
50.25	4.217	16/11/2010	8.072	377.1	
50.25	4.217	22/11/2010	8.103	346	
50.25	4.217	30/11/2010	8.036	411.7	
50.25	4.217	06/12/2010	8.07	375.1	
50.25	4.217	13/12/2010	8.082	362.4	
50.25	4.217	06/01/2011	8.048	392.1	
50.25	4.217	07/03/2011	8.158	301.6	
50.25	4.217	14/03/2011	8.071	370.4	
50.25	4.217	22/03/2011	8.112	337.8	
50.25	4.217	28/03/2011	8.047	393.9	
50.25	4.217	24/05/2011	8.126	326.8	
50.25	4.217	01/06/2011	8.238	244.9	
50.25	4.217	06/06/2011	8.144	314.4	
50.25	4.217	14/06/2011	8.137	316.1	
50.25	4.217	20/06/2011	8.054	390.7	
50.25	4.217	27/06/2011	8.114	338	
50.25	4.217	04/07/2011	8.166	293.7	
50.25	4.217	11/07/2011	8.063	382.6	
50.25	4.217	19/07/2011	8.041	409.6	
50.25	4.217	01/08/2011	8.041	408.4	
50.25	4.217	08/08/2011	8.073	375.8	
50.25	4.217	09/01/2012	8.099	350.2	
50.25	4.217	16/01/2012	7.973	477.8	
50.25	4.217	02/04/2012	8.124	335.6	
50.25	4.217	10/04/2012	8.148	314.1	
50.25	4.217	16/04/2012	8.165	301	
50.25	4.217	24/04/2012	7.97	488.7	
50.25	4.217	01/05/2012	7.947	519	
50.25	4.217	08/05/2012	8.143	320.7	
50.25	4.217	14/05/2012	8.092	363.9	
50.25	4.217	21/05/2012	8.299	214.9	
50.25	4.217	11/06/2012	8.074	380.2	
50.25	4.217	18/06/2012	8.261	237	
50.25	4.217	25/06/2012	8.217	268.4	
50.25	4.217	02/07/2012	7.976	487.9	
50.25	4.217	09/07/2012	8.203	274.3	
50.25	4.217	23/07/2012	8.135	327	
50.25	4.217	30/07/2012	8.139	321.5	
50.25	4.217	06/08/2012	8.009	447.7	
50.25	4.217	14/08/2012	8.201	269.5	
50.25	4.217	20/08/2012	8.151	310	
